~id,~label,~from,~to,~fromLabels,~toLabels,dist:int
"28796","route","389","384","airport","airport",1495
"28812","route","389","1536","airport","airport",628
"28828","route","392","8","airport","airport",499
"28844","route","395","10","airport","airport",501
"28860","route","395","187","airport","airport",381
"28876","route","396","46","airport","airport",460
"28892","route","397","41","airport","airport",450
"28908","route","398","190","airport","airport",667
"28924","route","403","38","airport","airport",1457
"28940","route","406","1","airport","airport",147
"28956","route","409","8","airport","airport",934
"28972","route","411","18","airport","airport",780
"28988","route","413","8","airport","airport",876
"29004","route","414","180","airport","airport",756
"29020","route","415","85","airport","airport",1638
"29051","route","417","9","airport","airport",1175
"29067","route","417","51","airport","airport",5377
"29083","route","417","225","airport","airport",659
"29099","route","417","559","airport","airport",834
"29115","route","417","596","airport","airport",1003
"29131","route","418","11","airport","airport",714
"29147","route","420","16","airport","airport",1025
"29163","route","420","372","airport","airport",287
"29179","route","421","12","airport","airport",717
"29195","route","422","1","airport","airport",1692
"29211","route","422","42","airport","airport",1249
"29227","route","424","136","airport","airport",229
"29243","route","428","11","airport","airport",164
"29259","route","429","46","airport","airport",443
"29275","route","430","147","airport","airport",776
"29291","route","431","11","airport","airport",439
"29306","route","432","24","airport","airport",1517
"29322","route","433","346","airport","airport",1155
"29338","route","434","601","airport","airport",132
"29354","route","435","363","airport","airport",518
"29370","route","437","46","airport","airport",607
"29386","route","438","46","airport","airport",373
"29402","route","439","413","airport","airport",1885
"29418","route","442","55","airport","airport",1710
"29434","route","442","1794","airport","airport",86
"29450","route","442","1810","airport","airport",472
"29466","route","444","11","airport","airport",985
"29482","route","445","148","airport","airport",1313
"29498","route","448","46","airport","airport",382
"29514","route","451","59","airport","airport",4222
"29530","route","451","93","airport","airport",901
"29546","route","451","170","airport","airport",1098
"29561","route","451","255","airport","airport",1900
"29577","route","451","347","airport","airport",839
"29593","route","451","489","airport","airport",2722
"29609","route","451","541","airport","airport",839
"29625","route","451","1270","airport","airport",822
"29641","route","452","451","airport","airport",363
"29657","route","453","102","airport","airport",1182
"29673","route","453","473","airport","airport",318
"29689","route","454","80","airport","airport",1111
"29705","route","454","259","airport","airport",61
"29721","route","454","1369","airport","airport",1377
"29737","route","455","287","airport","airport",287
"29753","route","455","1953","airport","airport",224
"29769","route","456","122","airport","airport",1667
"29785","route","456","689","airport","airport",1699
"29801","route","456","2825","airport","airport",180
"29816","route","457","101","airport","airport",1423
"29832","route","457","674","airport","airport",236
"29848","route","457","2402","airport","airport",128
"29864","route","458","165","airport","airport",2518
"29880","route","458","691","airport","airport",1471
"29896","route","459","70","airport","airport",296
"29912","route","459","171","airport","airport",834
"29928","route","459","507","airport","airport",1218
