~id,~label,~from,~to,~fromLabels,~toLabels
"50427","contains","3623","941","country","airport"
"50442","contains","3623","956","country","airport"
"50458","contains","3610","972","country","airport"
"50474","contains","3410","988","country","airport"
"50490","contains","3553","1004","country","airport"
"50506","contains","3556","1020","country","airport"
"50522","contains","3570","1036","country","airport"
"50538","contains","3623","1052","country","airport"
"50554","contains","3623","1068","country","airport"
"50570","contains","3623","1084","country","airport"
"50586","contains","3623","1100","country","airport"
"50602","contains","3623","1116","country","airport"
"50618","contains","3435","1132","country","airport"
"50634","contains","3440","1148","country","airport"
"50650","contains","3398","1164","country","airport"
"50666","contains","3499","1180","country","airport"
"50682","contains","3620","1196","country","airport"
"50697","contains","3595","1211","country","airport"
"50713","contains","3604","1227","country","airport"
"50729","contains","3435","1243","country","airport"
"50745","contains","3435","1259","country","airport"
"50761","contains","3623","1275","country","airport"
"50777","contains","3427","1291","country","airport"
"50793","contains","3473","1307","country","airport"
"50809","contains","3496","1323","country","airport"
"50825","contains","3496","1339","country","airport"
"50841","contains","3460","1355","country","airport"
"50857","contains","3542","1371","country","airport"
"50873","contains","3503","1387","country","airport"
"50889","contains","3555","1403","country","airport"
"50905","contains","3460","1419","country","airport"
"50921","contains","3435","1435","country","airport"
"50937","contains","3435","1451","country","airport"
"50952","contains","3410","1466","country","airport"
"50968","contains","3440","1482","country","airport"
"50984","contains","3440","1498","country","airport"
"51000","contains","3440","1514","country","airport"
"51016","contains","3440","1530","country","airport"
"51032","contains","3537","1546","country","airport"
"51048","contains","3406","1562","country","airport"
"51064","contains","3426","1578","country","airport"
"51080","contains","3426","1594","country","airport"
"51096","contains","3439","1610","country","airport"
"51112","contains","3563","1626","country","airport"
"51128","contains","3602","1642","country","airport"
"51144","contains","3602","1658","country","airport"
"51160","contains","3474","1674","country","airport"
"51176","contains","3598","1690","country","airport"
