~id,~label,~from,~to,~fromLabels,~toLabels
"55047","contains","3639","2164","continent","airport"
"55063","contains","3639","2180","continent","airport"
"55079","contains","3637","2196","continent","airport"
"55095","contains","3640","2212","continent","airport"
"55111","contains","3640","2228","continent","airport"
"55127","contains","3640","2244","continent","airport"
"55143","contains","3639","2260","continent","airport"
"55159","contains","3639","2276","continent","airport"
"55175","contains","3639","2292","continent","airport"
"55191","contains","3639","2308","continent","airport"
"55207","contains","3637","2324","continent","airport"
"55223","contains","3637","2340","continent","airport"
"55239","contains","3637","2356","continent","airport"
"55255","contains","3637","2372","continent","airport"
"55271","contains","3637","2388","continent","airport"
"55287","contains","3639","2404","continent","airport"
"55302","contains","3639","2419","continent","airport"
"55318","contains","3639","2435","continent","airport"
"55334","contains","3639","2451","continent","airport"
"55350","contains","3638","2467","continent","airport"
"55366","contains","3638","2483","continent","airport"
"55382","contains","3638","2499","continent","airport"
"55398","contains","3638","2515","continent","airport"
"55414","contains","3638","2531","continent","airport"
"55430","contains","3638","2547","continent","airport"
"55446","contains","3638","2563","continent","airport"
"55462","contains","3638","2579","continent","airport"
"55478","contains","3638","2595","continent","airport"
"55494","contains","3638","2611","continent","airport"
"55510","contains","3639","2627","continent","airport"
"55526","contains","3639","2643","continent","airport"
"55542","contains","3639","2659","continent","airport"
"55557","contains","3635","2674","continent","airport"
"55573","contains","3639","2690","continent","airport"
"55589","contains","3639","2706","continent","airport"
"55605","contains","3639","2722","continent","airport"
"55621","contains","3635","2738","continent","airport"
"55637","contains","3639","2754","continent","airport"
"55653","contains","3639","2770","continent","airport"
"55669","contains","3639","2786","continent","airport"
"55685","contains","3639","2802","continent","airport"
"55701","contains","3639","2818","continent","airport"
"55717","contains","3639","2834","continent","airport"
"55733","contains","3639","2850","continent","airport"
"55749","contains","3639","2866","continent","airport"
"55765","contains","3639","2882","continent","airport"
"55781","contains","3639","2898","continent","airport"
"55797","contains","3640","2914","continent","airport"
"55812","contains","3640","2929","continent","airport"
"55828","contains","3639","2945","continent","airport"
"55844","contains","3639","2961","continent","airport"
"55860","contains","3639","2977","continent","airport"
"55876","contains","3637","2993","continent","airport"
"55892","contains","3637","3009","continent","airport"
"55908","contains","3639","3025","continent","airport"
"55924","contains","3639","3041","continent","airport"
"55940","contains","3636","3057","continent","airport"
"55956","contains","3640","3073","continent","airport"
"55972","contains","3638","3089","continent","airport"
"55988","contains","3639","3105","continent","airport"
"56004","contains","3639","3121","continent","airport"
"56020","contains","3637","3137","continent","airport"
"56036","contains","3637","3153","continent","airport"
"56052","contains","3638","3169","continent","airport"
"56067","contains","3638","3184","continent","airport"
"56083","contains","3635","3200","continent","airport"
"56099","contains","3637","3216","continent","airport"
"56115","contains","3637","3232","continent","airport"
"56131","contains","3637","3248","continent","airport"
"56147","contains","3635","3264","continent","airport"
"56163","contains","3639","3280","continent","airport"
"56179","contains","3639","3296","continent","airport"
"56195","contains","3639","3312","continent","airport"
"56211","contains","3639","3328","continent","airport"
"56227","contains","3640","3344","continent","airport"
"56243","contains","3635","3360","continent","airport"
"56259","contains","3636","3376","continent","airport"
"56275","contains","3635","3392","continent","airport"
"52897","contains","3637","14","continent","airport"
"52913","contains","3637","30","continent","airport"
"52929","contains","3637","46","continent","airport"
"52945","contains","3640","62","continent","airport"
"52961","contains","3637","78","continent","airport"
"52977","contains","3635","94","continent","airport"
"52992","contains","3635","109","continent","airport"
"53008","contains","3636","125","continent","airport"
"53024","contains","3635","141","continent","airport"
"53040","contains","3640","157","continent","airport"
"53056","contains","3635","173","continent","airport"
"53072","contains","3637","189","continent","airport"
"53088","contains","3639","205","continent","airport"
"53104","contains","3637","221","continent","airport"
"53120","contains","3637","237","continent","airport"
"53136","contains","3635","253","continent","airport"
"53152","contains","3637","269","continent","airport"
"53168","contains","3639","285","continent","airport"
"53184","contains","3637","301","continent","airport"
"53200","contains","3639","317","continent","airport"
"53216","contains","3636","333","continent","airport"
"53232","contains","3639","349","continent","airport"
"53263","contains","3637","380","continent","airport"
"53279","contains","3637","396","continent","airport"
"53295","contains","3637","412","continent","airport"
"53311","contains","3637","428","continent","airport"
"53327","contains","3637","444","continent","airport"
